Date,Party Name,Region,Stock ID,Stock Name,Rate,Quantity,Units,Amount
2023-01-03,VoltWay Dealers,East,EVS000034,Thunder EV 2.0,104860,2,Nos,209720
2023-01-03,EcoMotion Pvt Ltd,South,EVS000032,SwiftVolt 100,126916,1,Nos,126916
2023-01-03,UrbanEV Wheels,South,EVS000035,ChargeGo Pro,101600,3,Nos,304800
2023-01-04,NextGen Auto,East,EVS000047,SwiftVolt 100,100655,1,Nos,100655
2023-01-04,GreenRide Motors,"North ",EVS000055,Thunder EV 2.0,102036,1,Nos,102036
2023-01-04,EcoMotion Pvt Ltd,West,EVS000054,ChargeGo Pro,116052,3,Nos,348156
2023-01-04,GreenRide Motors,West,EVS000051,Thunder EV 2.0,99275,2,Nos,198550
2023-01-04,RideElectric LLP,South,EVS000049,ChargeGo Pro,92431,2,Nos,184862
2023-01-04,NextGen Auto,South,EVS000053,E-Velo X1,117164,2,Nos,234328
2023-01-04,VoltWay Dealers,South,EVS000052,Thunder EV 2.0,126839,2,Nos,253678
2023-01-04,RideElectric LLP,"North ",EVS000048,E-Velo X1,91253,1,Nos,91253
2023-01-04,EcoMotion Pvt Ltd,South,EVS000050,SwiftVolt 100,122160,1,Nos,122160
2023-01-05,EcoMotion Pvt Ltd,East,EVS000060,E-Velo X1,97497,1,Nos,97497
2023-01-05,VoltWay Dealers,West,EVS000062,EcoZoom Lite,99422,2,Nos,198844
2023-01-05,VoltWay Dealers,"North ",EVS000063,SwiftVolt 100,91870,3,Nos,275610
2023-01-05,VoltWay Dealers,West,EVS000059,EcoZoom Lite,111400,3,Nos,334200
2023-01-05,NextGen Auto,East,EVS000057,E-Velo X1,106573,1,Nos,106573
2023-01-05,GreenRide Motors,South,EVS000061,ChargeGo Pro,122113,1,Nos,122113
2023-01-05,EcoMotion Pvt Ltd,"North ",EVS000065,E-Velo X1,106244,3,Nos,318732
2023-01-05,NextGen Auto,East,EVS000064,EcoZoom Lite,112644,2,Nos,225288
2023-01-05,EcoMotion Pvt Ltd,South,EVS000069,SwiftVolt 100,115871,1,Nos,115871
2023-01-05,RideElectric LLP,"North ",EVS000056,E-Velo X1,106626,3,Nos,319878
2023-01-05,EcoMotion Pvt Ltd,West,EVS000070,Thunder EV 2.0,97883,2,Nos,195766
2023-01-05,EcoMotion Pvt Ltd,West,EVS000071,SwiftVolt 100,109205,3,Nos,327615
2023-01-05,EcoMotion Pvt Ltd,"North ",EVS000068,ChargeGo Pro,85297,3,Nos,255891
2023-01-05,UrbanEV Wheels,South,EVS000066,Thunder EV 2.0,114360,3,Nos,343080
2023-01-05,UrbanEV Wheels,South,EVS000067,Thunder EV 2.0,101169,3,Nos,303507
2023-01-05,UrbanEV Wheels,East,EVS000058,SwiftVolt 100,107202,2,Nos,214404
2023-01-06,RideElectric LLP,East,EVS000077,Thunder EV 2.0,118404,1,Nos,118404
2023-01-06,RideElectric LLP,East,EVS000073,EcoZoom Lite,126186,3,Nos,378558
2023-01-06,GreenRide Motors,West,EVS000080,EcoZoom Lite,105268,2,Nos,210536
2023-01-06,GreenRide Motors,South,EVS000081,EcoZoom Lite,89432,3,Nos,268296
2023-01-06,EcoMotion Pvt Ltd,East,EVS000072,E-Velo X1,116250,3,Nos,348750
2023-01-06,VoltWay Dealers,South,EVS000083,SwiftVolt 100,100416,3,Nos,301248
2023-01-06,NextGen Auto,East,EVS000079,SwiftVolt 100,129707,1,Nos,129707
2023-01-06,NextGen Auto,South,EVS000082,Thunder EV 2.0,91324,3,Nos,273972
2023-01-06,RideElectric LLP,South,EVS000078,E-Velo X1,99564,1,Nos,99564
2023-01-06,GreenRide Motors,West,EVS000076,SwiftVolt 100,97990,1,Nos,97990
2023-01-06,UrbanEV Wheels,South,EVS000075,E-Velo X1,104411,2,Nos,208822
2023-01-06,EcoMotion Pvt Ltd,West,EVS000074,E-Velo X1,115092,1,Nos,115092
2023-01-07,GreenRide Motors,West,EVS000095,E-Velo X1,97642,2,Nos,195284
2023-01-07,NextGen Auto,"North ",EVS000092,E-Velo X1,114920,2,Nos,229840
2023-01-07,RideElectric LLP,"North ",EVS000093,E-Velo X1,119362,2,Nos,238724
2023-01-07,EcoMotion Pvt Ltd,East,EVS000091,SwiftVolt 100,88378,2,Nos,176756
2023-01-07,VoltWay Dealers,West,EVS000084,SwiftVolt 100,91888,2,Nos,183776
2023-01-07,UrbanEV Wheels,West,EVS000090,SwiftVolt 100,105407,1,Nos,105407
2023-01-07,RideElectric LLP,"North ",EVS000088,EcoZoom Lite,106117,2,Nos,212234
2023-01-07,RideElectric LLP,South,EVS000089,SwiftVolt 100,122065,1,Nos,122065
2023-01-07,EcoMotion Pvt Ltd,"North ",EVS000087,ChargeGo Pro,99727,2,Nos,199454
2023-01-07,GreenRide Motors,"North ",EVS000086,Thunder EV 2.0,124142,2,Nos,248284
2023-01-07,GreenRide Motors,South,EVS000094,ChargeGo Pro,110193,3,Nos,330579
2023-01-07,VoltWay Dealers,South,EVS000085,EcoZoom Lite,86130,1,Nos,86130
2023-01-08,UrbanEV Wheels,West,EVS000104,ChargeGo Pro,108414,3,Nos,325242
2023-01-08,UrbanEV Wheels,East,EVS000098,Thunder EV 2.0,87577,1,Nos,87577
2023-01-08,NextGen Auto,West,EVS000096,E-Velo X1,89367,1,Nos,89367
2023-01-08,NextGen Auto,East,EVS000103,ChargeGo Pro,96601,2,Nos,193202
2023-01-08,EcoMotion Pvt Ltd,"North ",EVS000102,E-Velo X1,85048,1,Nos,85048
2023-01-08,VoltWay Dealers,South,EVS000100,E-Velo X1,105530,3,Nos,316590
2023-01-08,RideElectric LLP,South,EVS000097,ChargeGo Pro,114679,1,Nos,114679
2023-01-08,UrbanEV Wheels,West,EVS000099,ChargeGo Pro,107078,2,Nos,214156
2023-01-08,RideElectric LLP,West,EVS000101,ChargeGo Pro,93762,1,Nos,93762
2023-01-09,GreenRide Motors,West,EVS000112,ChargeGo Pro,105269,1,Nos,105269
2023-01-09,UrbanEV Wheels,"North ",EVS000111,EcoZoom Lite,93470,1,Nos,93470
2023-01-09,UrbanEV Wheels,South,EVS000115,SwiftVolt 100,92987,2,Nos,185974
2023-01-09,RideElectric LLP,South,EVS000105,SwiftVolt 100,108871,3,Nos,326613
2023-01-09,RideElectric LLP,South,EVS000113,ChargeGo Pro,98632,3,Nos,295896
2023-01-09,NextGen Auto,West,EVS000114,EcoZoom Lite,122749,2,Nos,245498
2023-01-09,NextGen Auto,West,EVS000108,E-Velo X1,113368,1,Nos,113368
2023-01-09,NextGen Auto,South,EVS000110,Thunder EV 2.0,86010,2,Nos,172020
2023-01-09,EcoMotion Pvt Ltd,East,EVS000109,SwiftVolt 100,94244,2,Nos,188488
2023-01-09,RideElectric LLP,"North ",EVS000106,E-Velo X1,97317,3,Nos,291951
2023-01-09,VoltWay Dealers,West,EVS000107,Thunder EV 2.0,128464,3,Nos,385392
2023-01-10,NextGen Auto,"North ",EVS000124,SwiftVolt 100,119084,3,Nos,357252
2023-01-10,RideElectric LLP,"North ",EVS000120,ChargeGo Pro,86877,1,Nos,86877
2023-01-10,RideElectric LLP,East,EVS000118,ChargeGo Pro,104988,3,Nos,314964
2023-01-10,RideElectric LLP,"North ",EVS000121,EcoZoom Lite,116646,2,Nos,233292
2023-01-10,RideElectric LLP,East,EVS000122,E-Velo X1,97531,2,Nos,195062
2023-01-10,UrbanEV Wheels,East,EVS000117,E-Velo X1,106179,1,Nos,106179
2023-01-10,UrbanEV Wheels,"North ",EVS000123,Thunder EV 2.0,103911,2,Nos,207822
2023-01-10,GreenRide Motors,"North ",EVS000125,E-Velo X1,98231,2,Nos,196462
2023-01-10,UrbanEV Wheels,West,EVS000119,EcoZoom Lite,103563,1,Nos,103563
2023-01-10,UrbanEV Wheels,West,EVS000116,SwiftVolt 100,126854,3,Nos,380562
2023-01-11,NextGen Auto,South,EVS000127,SwiftVolt 100,101720,1,Nos,101720
2023-01-11,GreenRide Motors,"North ",EVS000126,Thunder EV 2.0,103288,2,Nos,206576
2023-01-11,NextGen Auto,"North ",EVS000130,ChargeGo Pro,120334,3,Nos,361002
2023-01-11,UrbanEV Wheels,South,EVS000132,EcoZoom Lite,109980,1,Nos,109980
2023-01-11,GreenRide Motors,West,EVS000129,E-Velo X1,115944,1,Nos,115944
2023-01-11,EcoMotion Pvt Ltd,South,EVS000131,ChargeGo Pro,127786,1,Nos,127786
2023-01-11,UrbanEV Wheels,East,EVS000128,EcoZoom Lite,116535,1,Nos,116535
2023-01-12,UrbanEV Wheels,East,EVS000133,E-Velo X1,99638,1,Nos,99638
2023-01-12,EcoMotion Pvt Ltd,South,EVS000134,ChargeGo Pro,90486,2,Nos,180972
2023-01-12,NextGen Auto,South,EVS000144,Thunder EV 2.0,122378,2,Nos,244756
2023-01-12,RideElectric LLP,West,EVS000135,EcoZoom Lite,107343,2,Nos,214686
2023-01-12,GreenRide Motors,"North ",EVS000140,Thunder EV 2.0,106436,1,Nos,106436
2023-01-12,VoltWay Dealers,South,EVS000141,E-Velo X1,91575,2,Nos,183150
2023-01-12,GreenRide Motors,"North ",EVS000139,Thunder EV 2.0,89332,3,Nos,267996
2023-01-12,VoltWay Dealers,South,EVS000143,E-Velo X1,115325,2,Nos,230650
2023-01-12,VoltWay Dealers,West,EVS000142,SwiftVolt 100,112926,1,Nos,112926
2023-01-12,EcoMotion Pvt Ltd,West,EVS000137,Thunder EV 2.0,86816,2,Nos,173632
2023-01-12,RideElectric LLP,South,EVS000138,SwiftVolt 100,114328,1,Nos,114328
2023-01-12,VoltWay Dealers,"North ",EVS000136,EcoZoom Lite,106421,2,Nos,212842
2023-01-13,VoltWay Dealers,South,EVS000146,E-Velo X1,127503,3,Nos,382509
2023-01-13,GreenRide Motors,South,EVS000156,Thunder EV 2.0,127719,2,Nos,255438
2023-01-13,GreenRide Motors,West,EVS000147,Thunder EV 2.0,91621,2,Nos,183242
2023-01-13,EcoMotion Pvt Ltd,South,EVS000154,SwiftVolt 100,116754,1,Nos,116754
2023-01-13,GreenRide Motors,South,EVS000152,SwiftVolt 100,126604,3,Nos,379812
2023-01-13,UrbanEV Wheels,South,EVS000153,EcoZoom Lite,125414,2,Nos,250828
2023-01-13,GreenRide Motors,"North ",EVS000155,E-Velo X1,111323,1,Nos,111323
2023-01-13,EcoMotion Pvt Ltd,"North ",EVS000151,ChargeGo Pro,103046,1,Nos,103046
2023-01-13,RideElectric LLP,South,EVS000150,EcoZoom Lite,94723,2,Nos,189446
2023-01-13,VoltWay Dealers,South,EVS000149,E-Velo X1,127764,3,Nos,383292
2023-01-13,EcoMotion Pvt Ltd,South,EVS000145,SwiftVolt 100,89488,2,Nos,178976
2023-01-13,RideElectric LLP,East,EVS000148,E-Velo X1,94053,2,Nos,188106
2023-01-14,UrbanEV Wheels,South,EVS000162,ChargeGo Pro,98312,2,Nos,196624
2023-01-14,UrbanEV Wheels,West,EVS000164,ChargeGo Pro,110620,3,Nos,331860
2023-01-14,GreenRide Motors,West,EVS000160,EcoZoom Lite,103102,2,Nos,206204
2023-01-14,NextGen Auto,"North ",EVS000161,E-Velo X1,93351,2,Nos,186702
2023-01-14,GreenRide Motors,South,EVS000158,EcoZoom Lite,109865,2,Nos,219730
2023-01-14,NextGen Auto,"North ",EVS000163,ChargeGo Pro,97009,1,Nos,97009
2023-01-14,GreenRide Motors,East,EVS000159,ChargeGo Pro,128717,3,Nos,386151
2023-01-14,VoltWay Dealers,"North ",EVS000157,SwiftVolt 100,129269,1,Nos,129269
2023-01-15,NextGen Auto,East,EVS000166,Thunder EV 2.0,97645,3,Nos,292935
2023-01-15,EcoMotion Pvt Ltd,"North ",EVS000165,EcoZoom Lite,127917,3,Nos,383751
2023-01-15,EcoMotion Pvt Ltd,East,EVS000174,Thunder EV 2.0,92064,3,Nos,276192
2023-01-15,VoltWay Dealers,East,EVS000172,E-Velo X1,88692,2,Nos,177384
2023-01-15,VoltWay Dealers,South,EVS000169,E-Velo X1,113303,3,Nos,339909
2023-01-15,NextGen Auto,"North ",EVS000173,ChargeGo Pro,111556,1,Nos,111556
2023-01-15,NextGen Auto,South,EVS000168,ChargeGo Pro,106041,2,Nos,212082
2023-01-15,RideElectric LLP,East,EVS000170,ChargeGo Pro,110863,3,Nos,332589
2023-01-15,NextGen Auto,South,EVS000171,EcoZoom Lite,87491,1,Nos,87491
2023-01-15,EcoMotion Pvt Ltd,"North ",EVS000167,SwiftVolt 100,102177,3,Nos,306531
2023-01-16,RideElectric LLP,"North ",EVS000187,EcoZoom Lite,119713,3,Nos,359139
2023-01-16,RideElectric LLP,"North ",EVS000189,SwiftVolt 100,100177,1,Nos,100177
2023-01-16,RideElectric LLP,"North ",EVS000188,ChargeGo Pro,102915,1,Nos,102915
2023-01-16,RideElectric LLP,South,EVS000184,ChargeGo Pro,100100,2,Nos,200200
2023-01-16,EcoMotion Pvt Ltd,East,EVS000186,Thunder EV 2.0,101038,2,Nos,202076
2023-01-16,NextGen Auto,West,EVS000178,SwiftVolt 100,112109,3,Nos,336327
2023-01-16,VoltWay Dealers,East,EVS000185,E-Velo X1,88100,3,Nos,264300
2023-01-16,EcoMotion Pvt Ltd,West,EVS000183,EcoZoom Lite,110393,1,Nos,110393
2023-01-16,NextGen Auto,East,EVS000182,EcoZoom Lite,120364,1,Nos,120364
2023-01-16,GreenRide Motors,West,EVS000181,EcoZoom Lite,93460,1,Nos,93460
2023-01-16,UrbanEV Wheels,East,EVS000180,ChargeGo Pro,107204,1,Nos,107204
2023-01-16,GreenRide Motors,South,EVS000179,SwiftVolt 100,104311,3,Nos,312933
2023-01-16,RideElectric LLP,East,EVS000177,ChargeGo Pro,95037,2,Nos,190074
2023-01-16,RideElectric LLP,East,EVS000176,Thunder EV 2.0,94090,2,Nos,188180
2023-01-16,VoltWay Dealers,South,EVS000175,SwiftVolt 100,123145,1,Nos,123145
2023-01-16,NextGen Auto,South,EVS000190,E-Velo X1,113547,2,Nos,227094
2023-01-17,VoltWay Dealers,West,EVS000196,EcoZoom Lite,89460,2,Nos,178920
2023-01-17,EcoMotion Pvt Ltd,East,EVS000192,E-Velo X1,127993,2,Nos,255986
2023-01-17,EcoMotion Pvt Ltd,West,EVS000195,Thunder EV 2.0,97542,1,Nos,97542
2023-01-17,VoltWay Dealers,South,EVS000191,Thunder EV 2.0,125387,2,Nos,250774
2023-01-17,RideElectric LLP,South,EVS000197,EcoZoom Lite,88345,3,Nos,265035
2023-01-17,NextGen Auto,West,EVS000194,E-Velo X1,112116,2,Nos,224232
2023-01-17,NextGen Auto,East,EVS000193,E-Velo X1,123419,2,Nos,246838
2023-01-18,RideElectric LLP,East,EVS000200,SwiftVolt 100,98530,2,Nos,197060
2023-01-18,NextGen Auto,"North ",EVS000209,ChargeGo Pro,105764,2,Nos,211528
2023-01-18,EcoMotion Pvt Ltd,"North ",EVS000208,SwiftVolt 100,87694,3,Nos,263082
2023-01-18,RideElectric LLP,"North ",EVS000207,E-Velo X1,101318,3,Nos,303954
2023-01-18,RideElectric LLP,"North ",EVS000199,Thunder EV 2.0,122879,1,Nos,122879
2023-01-18,UrbanEV Wheels,West,EVS000211,EcoZoom Lite,126814,3,Nos,380442
2023-01-18,VoltWay Dealers,East,EVS000198,ChargeGo Pro,90024,1,Nos,90024
2023-01-18,UrbanEV Wheels,South,EVS000210,SwiftVolt 100,98364,3,Nos,295092
2023-01-18,VoltWay Dealers,South,EVS000206,SwiftVolt 100,128749,1,Nos,128749
2023-01-18,VoltWay Dealers,South,EVS000204,ChargeGo Pro,98647,2,Nos,197294
2023-01-18,UrbanEV Wheels,"North ",EVS000202,EcoZoom Lite,111376,3,Nos,334128
2023-01-18,VoltWay Dealers,South,EVS000203,SwiftVolt 100,119983,3,Nos,359949
2023-01-18,RideElectric LLP,South,EVS000205,EcoZoom Lite,107379,3,Nos,322137
2023-01-18,RideElectric LLP,East,EVS000201,SwiftVolt 100,113021,1,Nos,113021
2023-01-19,GreenRide Motors,South,EVS000213,Thunder EV 2.0,91314,3,Nos,273942
2023-01-19,EcoMotion Pvt Ltd,"North ",EVS000214,E-Velo X1,121511,2,Nos,243022
2023-01-19,VoltWay Dealers,East,EVS000215,Thunder EV 2.0,93505,2,Nos,187010
2023-01-19,GreenRide Motors,West,EVS000212,E-Velo X1,109906,3,Nos,329718
2023-01-19,VoltWay Dealers,"North ",EVS000216,EcoZoom Lite,126421,2,Nos,252842
2023-01-19,GreenRide Motors,"North ",EVS000217,Thunder EV 2.0,102279,1,Nos,102279
2023-01-19,UrbanEV Wheels,West,EVS000218,ChargeGo Pro,87912,1,Nos,87912
2023-01-20,EcoMotion Pvt Ltd,"North ",EVS000225,EcoZoom Lite,115734,2,Nos,231468
2023-01-20,UrbanEV Wheels,East,EVS000234,Thunder EV 2.0,113875,2,Nos,227750
2023-01-20,UrbanEV Wheels,"North ",EVS000224,ChargeGo Pro,110309,2,Nos,220618
2023-01-20,VoltWay Dealers,West,EVS000220,ChargeGo Pro,97817,2,Nos,195634
2023-01-20,VoltWay Dealers,South,EVS000232,SwiftVolt 100,93646,2,Nos,187292
2023-01-20,EcoMotion Pvt Ltd,"North ",EVS000219,E-Velo X1,88339,2,Nos,176678
2023-01-20,VoltWay Dealers,South,EVS000233,Thunder EV 2.0,106174,2,Nos,212348
2023-01-20,VoltWay Dealers,West,EVS000228,E-Velo X1,98275,1,Nos,98275
2023-01-20,GreenRide Motors,South,EVS000229,ChargeGo Pro,88026,2,Nos,176052
2023-01-20,EcoMotion Pvt Ltd,South,EVS000231,SwiftVolt 100,108085,2,Nos,216170
2023-01-20,NextGen Auto,East,EVS000230,Thunder EV 2.0,118974,2,Nos,237948
2023-01-20,EcoMotion Pvt Ltd,East,EVS000226,ChargeGo Pro,112399,2,Nos,224798
2023-01-20,EcoMotion Pvt Ltd,East,EVS000227,ChargeGo Pro,104188,3,Nos,312564
2023-01-20,VoltWay Dealers,East,EVS000223,SwiftVolt 100,94291,2,Nos,188582
2023-01-20,RideElectric LLP,East,EVS000222,EcoZoom Lite,95188,1,Nos,95188
2023-01-20,UrbanEV Wheels,"North ",EVS000235,SwiftVolt 100,85160,3,Nos,255480
2023-01-20,UrbanEV Wheels,South,EVS000221,Thunder EV 2.0,101039,3,Nos,303117
2023-01-21,UrbanEV Wheels,"North ",EVS000237,Thunder EV 2.0,106577,3,Nos,319731
2023-01-21,NextGen Auto,"North ",EVS000241,Thunder EV 2.0,125947,3,Nos,377841
2023-01-21,GreenRide Motors,South,EVS000243,EcoZoom Lite,91930,2,Nos,183860
2023-01-21,NextGen Auto,South,EVS000236,Thunder EV 2.0,99116,2,Nos,198232
2023-01-21,VoltWay Dealers,West,EVS000242,EcoZoom Lite,124739,3,Nos,374217
2023-01-21,GreenRide Motors,"North ",EVS000240,SwiftVolt 100,97490,3,Nos,292470
2023-01-21,RideElectric LLP,East,EVS000238,SwiftVolt 100,111665,3,Nos,334995
2023-01-21,RideElectric LLP,East,EVS000239,E-Velo X1,123606,3,Nos,370818
2023-01-22,GreenRide Motors,South,EVS000254,ChargeGo Pro,116454,1,Nos,116454
2023-01-22,EcoMotion Pvt Ltd,"North ",EVS000253,E-Velo X1,113987,2,Nos,227974
2023-01-22,EcoMotion Pvt Ltd,West,EVS000252,SwiftVolt 100,118140,1,Nos,118140
2023-01-22,VoltWay Dealers,"North ",EVS000251,E-Velo X1,104777,1,Nos,104777
2023-01-22,VoltWay Dealers,South,EVS000250,E-Velo X1,87587,1,Nos,87587
2023-01-22,EcoMotion Pvt Ltd,South,EVS000248,Thunder EV 2.0,124718,3,Nos,374154
2023-01-22,NextGen Auto,West,EVS000249,EcoZoom Lite,113762,3,Nos,341286
2023-01-22,UrbanEV Wheels,East,EVS000247,ChargeGo Pro,125840,2,Nos,251680
2023-01-22,UrbanEV Wheels,South,EVS000246,E-Velo X1,125076,1,Nos,125076
2023-01-22,NextGen Auto,East,EVS000245,SwiftVolt 100,116543,2,Nos,233086
2023-01-22,GreenRide Motors,South,EVS000255,EcoZoom Lite,88744,1,Nos,88744
2023-01-22,RideElectric LLP,West,EVS000257,Thunder EV 2.0,118198,2,Nos,236396
2023-01-22,VoltWay Dealers,East,EVS000256,Thunder EV 2.0,102936,2,Nos,205872
2023-01-22,UrbanEV Wheels,South,EVS000244,EcoZoom Lite,106477,1,Nos,106477
2023-01-23,GreenRide Motors,South,EVS000258,ChargeGo Pro,103919,1,Nos,103919
2023-01-23,NextGen Auto,"North ",EVS000260,SwiftVolt 100,124976,1,Nos,124976
2023-01-23,NextGen Auto,"North ",EVS000259,Thunder EV 2.0,108235,1,Nos,108235
2023-01-23,UrbanEV Wheels,"North ",EVS000268,EcoZoom Lite,94166,1,Nos,94166
2023-01-23,VoltWay Dealers,"North ",EVS000269,EcoZoom Lite,93844,2,Nos,187688
2023-01-23,NextGen Auto,"North ",EVS000264,EcoZoom Lite,88282,1,Nos,88282
2023-01-23,UrbanEV Wheels,East,EVS000267,SwiftVolt 100,91811,2,Nos,183622
2023-01-23,EcoMotion Pvt Ltd,West,EVS000266,ChargeGo Pro,102615,2,Nos,205230
2023-01-23,EcoMotion Pvt Ltd,East,EVS000265,ChargeGo Pro,110946,2,Nos,221892
2023-01-23,EcoMotion Pvt Ltd,East,EVS000262,Thunder EV 2.0,96441,3,Nos,289323
2023-01-23,EcoMotion Pvt Ltd,"North ",EVS000263,E-Velo X1,111755,3,Nos,335265
2023-01-23,NextGen Auto,"North ",EVS000261,EcoZoom Lite,106277,2,Nos,212554
2023-01-23,VoltWay Dealers,South,EVS000270,SwiftVolt 100,128262,1,Nos,128262
2023-01-24,VoltWay Dealers,East,EVS000271,E-Velo X1,102976,2,Nos,205952
2023-01-24,RideElectric LLP,South,EVS000280,EcoZoom Lite,105445,1,Nos,105445
2023-01-24,GreenRide Motors,West,EVS000285,E-Velo X1,112082,1,Nos,112082
2023-01-24,VoltWay Dealers,"North ",EVS000275,Thunder EV 2.0,89275,1,Nos,89275
2023-01-24,GreenRide Motors,West,EVS000282,ChargeGo Pro,102333,1,Nos,102333
2023-01-24,EcoMotion Pvt Ltd,West,EVS000281,E-Velo X1,104076,3,Nos,312228
2023-01-24,VoltWay Dealers,"North ",EVS000274,SwiftVolt 100,126419,2,Nos,252838
2023-01-24,EcoMotion Pvt Ltd,South,EVS000279,ChargeGo Pro,87437,2,Nos,174874
2023-01-24,NextGen Auto,West,EVS000278,ChargeGo Pro,129373,1,Nos,129373
2023-01-24,NextGen Auto,South,EVS000277,ChargeGo Pro,129924,1,Nos,129924
2023-01-24,GreenRide Motors,"North ",EVS000276,Thunder EV 2.0,103303,3,Nos,309909
2023-01-24,UrbanEV Wheels,South,EVS000283,E-Velo X1,109483,2,Nos,218966
2023-01-24,VoltWay Dealers,East,EVS000273,EcoZoom Lite,90944,1,Nos,90944
2023-01-24,EcoMotion Pvt Ltd,South,EVS000272,EcoZoom Lite,115530,1,Nos,115530
2023-01-24,RideElectric LLP,South,EVS000284,Thunder EV 2.0,126445,3,Nos,379335
2023-01-25,RideElectric LLP,West,EVS000286,ChargeGo Pro,123418,3,Nos,370254
2023-01-25,VoltWay Dealers,West,EVS000289,E-Velo X1,87286,2,Nos,174572
2023-01-25,RideElectric LLP,South,EVS000288,SwiftVolt 100,117340,2,Nos,234680
2023-01-25,EcoMotion Pvt Ltd,"North ",EVS000287,E-Velo X1,119528,3,Nos,358584
2023-01-25,VoltWay Dealers,"North ",EVS000294,EcoZoom Lite,95308,1,Nos,95308
2023-01-25,VoltWay Dealers,East,EVS000292,E-Velo X1,85312,3,Nos,255936
